CMN,area,pop,fam,edf,ulc,bct,area_id_H,area_id_M,area_id_L,area_id_H_p,area_id_M_p,area_id_L_p,pop_id_H,pop_id_M,pop_id_L,pop_id_H_p,pop_id_M_p,pop_id_L_p,fam_id_H,fam_id_M,fam_id_L,fam_id_H_p,fam_id_M_p,fam_id_L_p,edf_id_H,edf_id_M,edf_id_L,edf_id_H_p,edf_id_M_p,edf_id_L_p,ulc_id_H,ulc_id_M,ulc_id_L,ulc_id_H_p,ulc_id_M_p,ulc_id_L_p,bct_id_H,bct_id_M,bct_id_L,bct_id_H_p,bct_id_M_p,bct_id_L_p,area_fr_P4,area_fr_P3,area_fr_P2,area_fr_P1,area_fr_AA,area_fr_P3P4,area_fr_P4_p,area_fr_P3_p,area_fr_P2_p,area_fr_P1_p,area_fr_AA_p,area_fr_P3P4_p,pop_fr_P4,pop_fr_P3,pop_fr_P2,pop_fr_P1,pop_fr_AA,pop_fr_P3P4,pop_fr_P4_p,pop_fr_P3_p,pop_fr_P2_p,pop_fr_P1_p,pop_fr_AA_p,pop_fr_P3P4_p,fam_fr_P4,fam_fr_P3,fam_fr_P2,fam_fr_P1,fam_fr_AA,fam_fr_P3P4,fam_fr_P4_p,fam_fr_P3_p,fam_fr_P2_p,fam_fr_P1_p,fam_fr_AA_p,fam_fr_P3P4_p,edf_fr_P4,edf_fr_P3,edf_fr_P2,edf_fr_P1,edf_fr_AA,edf_fr_P3P4,edf_fr_P4_p,edf_fr_P3_p,edf_fr_P2_p,edf_fr_P1_p,edf_fr_AA_p,edf_fr_P3P4_p,ulc_fr_P4,ulc_fr_P3,ulc_fr_P2,ulc_fr_P1,ulc_fr_AA,ulc_fr_P3P4,ulc_fr_P4_p,ulc_fr_P3_p,ulc_fr_P2_p,ulc_fr_P1_p,ulc_fr_AA_p,ulc_fr_P3P4_p,bct_fr_P4,bct_fr_P3,bct_fr_P2,bct_fr_P1,bct_fr_AA,bct_fr_P3P4,bct_fr_P4_p,bct_fr_P3_p,bct_fr_P2_p,bct_fr_P1_p,bct_fr_AA_p,bct_fr_P3P4_p
28103,240.0444304,10491,3981,1946,765,8,0,0,1.779,0,0,7.426,0,0,379,0,0,3.869,0,0,137,0,0,3.84,0,0,79,0,0,4.06,0,0,91,0,0,11.895,0,0,1,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28104,122.1862514,6163,2391,1819,442,9,0.126,0.14,0.698,1.031,1.145,5.709,10,11,383,0.169,0.186,6.46,3,4,142,0.137,0.182,6.469,4,4,118,0.22,0.22,6.487,1,1,40,0.226,0.226,9.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28105,203.7958657,3258,1395,1360,347,15,3.209,3.381,3.521,15.757,16.601,17.289,426,468,515,12.467,13.696,15.072,167,183,202,12.217,13.387,14.777,166,189,211,12.206,13.897,15.515,28,39,49,8.069,11.239,14.121,2,2,2,13.333,13.333,13.333,0.027,0.063,0.333,0.021,2.125,0.09,0.133,0.309,1.635,0.103,10.434,0.442,2,8,19,2,219,10,0.059,0.234,0.556,0.059,6.409,0.293,1,3,7,1,84,4,0.073,0.219,0.512,0.073,6.145,0.293,1,3,9,1,95,4,0.074,0.221,0.662,0.074,6.985,0.294,0,1,1,0,21,1,0,0.288,0.288,0,6.052,0.288,0,1,0,0,3,1,0,6.667,0,0,20,6.667
28106,265.7899503,8941,3619,2101,701,30,2.568,6.664,11.65,9.667,25.087,43.856,565,1865,2933,6.318,20.854,32.797,225,714,1131,6.6,20.945,33.177,163,502,767,7.758,23.893,36.506,34,147,210,4.85,20.97,29.957,0,5,20,0,16.667,66.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28107,391.5627932,7045,2775,2820,574,13,0,0,17.238,0,0,44.007,0,0,2052,0,0,29.394,0,0,779,0,0,29.1,0,0,887,0,0,31.454,0,0,158,0,0,27.526,0,0,4,0,0,30.769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29001,1133.815837,18950,8309,8275,1630,79,2.111,2.111,113.319,1.862,1.862,99.939,15,15,20233,0.074,0.074,100,5,5,8405,0.059,0.059,100,7,7,8275,0.085,0.085,100,0,0,1630,0,0,100,0,0,78,0,0,98.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29002,806.2065769,4098,1876,2110,412,42,11.009,28.293,81.204,13.515,34.733,99.688,441,902,4554,9.684,19.807,100,185,374,1931,9.581,19.368,100,221,441,2110,10.474,20.9,100,49,94,412,11.893,22.816,100,7,13,41,16.667,30.952,97.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29003,199.2779708,2628,1190,1135,219,9,0,0,19.921,0,0,99.965,0,0,2811,0,0,100,0,0,1162,0,0,100,0,0,1135,0,0,100,0,0,219,0,0,100,0,0,9,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29004,445.4316877,10053,4320,3003,1020,62,1.951,2.057,36.437,4.381,4.619,81.818,119,122,9184,1.129,1.158,87.168,47,48,3694,1.121,1.145,88.141,45,46,2565,1.499,1.532,85.415,16,16,950,1.569,1.569,93.137,1,1,56,1.613,1.613,90.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29005,213.6393765,1195,514,548,74,4,1.015,1.07,21.355,4.752,5.01,99.986,15,16,1374,1.092,1.164,100,6,6,544,1.103,1.103,100,8,9,548,1.46,1.642,100,1,1,74,1.351,1.351,100,0,0,4,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
